music_names,music_artist,music_path,music_cover_music_genre
Siapkah Kau Tuk Jatuh Cinta Lagi - HIVI!,HIVI! - Siapkah Kau Tuk Jatuh Cinta Lagi,C:\Project UAS TERBARU\Lagu\HIVI! - Siapkah Kau Tuk Jatuh Cinta Lagi.mp3,C:\Project UAS TERBARU\Gambar Lagu\HIVI! - Siapkah Kau Tuk Jatuh Cinta Lagi.png,Pop
Sugeng Dalu - Denny Caknan,Denny Caknan - Sugeng Dalu,C:\Project UAS TERBARU\Lagu\Denny Caknan - Sugeng Dalu.mp3,C:\Project UAS TERBARU\Gambar Lagu\Denny Caknan - Sugeng Dalu.png,Dangdut
Dance Monkey - Tones and I,Tones and I - Dance Monkey,C:\Project UAS TERBARU\Lagu\Tones And I - Dance Monkey.mp3,C:\Project UAS TERBARU\Gambar Lagu\Tones and I - Dance Monkey.png,Indie
A Thousand Year - James Arthur,James Arthur - A Thousand Year,C:\Project UAS TERBARU\Lagu\James Arthur - A Thousand Years.mp3,C:\Project UAS TERBARU\Gambar Lagu\James Arthur - A Thousand Years.png,Pop
Untuk Perempuan Yang Sedang Dipelukan - Payung Teduh,Payung Teduh - Untuk Perempuan Yang Sedang Dipelukan,C:\Project UAS TERBARU\Lagu\Payung Teduh - Untuk Perempuan Yang Sedang Dalam Pelukan.mp3,C:\Project UAS TERBARU\Gambar Lagu\Payung Teduh - Untuk Perempuan Yang Sedang Dalam Pelukan.png,Indie
Cintanya Aku - Tiara Andini,Tiara Andini - Cintanya Aku,C:\Project UAS TERBARU\Lagu\Tiara Andini ft Arsy Widianto - Cintanya Aku.mp3,C:\Project UAS TERBARU\Gambar Lagu\Tiara Andini ft Arsy Widianto - Cintanya Aku.png,Pop
Night Changes - One Direction,One Direction - Night Changes,C:\Project UAS TERBARU\Lagu\One Direction - Night Changes.mp3,C:\Project UAS TERBARU\Gambar Lagu\One Direction - Night Changes.png,Pop
Membasuh - Hindia,Hindia - Membasuh,C:\Project UAS TERBARU\Lagu\Hindia ft Rara Sekar - Membasuh.mp3,C:\Project UAS TERBARU\Gambar Lagu\Hindia ft Rara Sekar - Membasuh.png,Balada
Drunk Text - Henry Moodie,Henry Moodie - Drunk Text,C:\Project UAS TERBARU\Lagu\Henry Moodie - Drunk Text.mp3,C:\Project UAS TERBARU\Gambar Lagu\Henry Moodie - Drunk Text.png,Pop
Jalan Pulang - Yura Yunita,Yura Yunita - Jalan Pulang,C:\Project UAS TERBARU\Lagu\Yura Yunita - Jalan Pulang.mp3,C:\Project UAS TERBARU\Gambar Lagu\Yura Yunita - Jalan Pulang.png,Pop
Cupid - Fifty Fifty,Fifty Fifty - Cupid,C:\Project UAS TERBARU\Lagu\Cupid - Fifty Fifty.mp3,C:\Project UAS TERBARU\Gambar Lagu\Cupid - Fifty Fifty.png,K-POP
Dandelions - Ruth B,Ruth B - Dandelions,C:\Project UAS TERBARU\Lagu\Ruth B - Dandelions.mp3,C:\Project UAS TERBARU\Gambar Lagu\Ruth B - Dandelions.png,Pop
Pamit - TULUS,TULUS - Pamit,C:\Project UAS TERBARU\Lagu\TULUS - Pamit.mp3,C:\Project UAS TERBARU\Gambar Lagu\TULUS - Pamit.png,Pop
Take A Chance With Me - NIKI,NIKI - Take A Chance With Me,C:\Project UAS TERBARU\Lagu\NIKI - Take A Chance With Me.mp3,C:\Project UAS TERBARU\Gambar Lagu\NIKI - Take A Chance With Me.png,Pop
Seven - Jungkook,Jungkook - Seven,C:\Project UAS TERBARU\Lagu\Jungkook - Seven.mp3,C:\Project UAS TERBARU\Gambar Lagu\Jungkook - Seven.png,K-POP
Dynamite - BTS,BTS - Dynamite,C:\Project UAS TERBARU\Lagu\BTS - Dynamite.mp3,C:\Project UAS TERBARU\Gambar Lagu\BTS - Dynamite.png,K-POP
Sempurna - Andra And The Backbone,Andra And The Backbone - Sempurna,C:\Project UAS TERBARU\Lagu\Andra and The Backbone - Sempurna.mp3,C:\Project UAS TERBARU\Gambar Lagu\Andra And The Backbone - Sempurna.png,Pop Rock
Pesan Terakhir - Lyodra,Lyodra - Pesan Terakhir,C:\Project UAS TERBARU\Lagu\Lyodra - Pesan Terakhir.mp3,C:\Project UAS TERBARU\Gambar Lagu\Lyodra - Pesan Terakhir.png,Pop
Kekasih Bayangan - Cakra Khan,Cakra Khan - Kekasih Bayangan,C:\Project UAS TERBARU\Lagu\Cakra Khan - Kekasih Bayangan.mp3,C:\Project UAS TERBARU\Gambar Lagu\Cakra Khan - Kekasih Bayangan.png,Pop
Clocks - Coldplay,Coldplay - Clocks,C:\Project UAS TERBARU\Lagu\Coldplay - Clocks.mp3,C:\Project UAS TERBARU\Gambar Lagu\Coldplay - Clocks.png,Rock
Aku Tenang - Fourtwnty,Fourtwnty - Aku Tenang,C:\Project UAS TERBARU\Lagu\Fourtwnty - Aku Tenang.mp3,C:\Project UAS TERBARU\Gambar Lagu\Fourtwnty - Aku Tenang.png,Pop
Someone To Stay - Vancouver Sleep Clinic,Vancouver Sleep Clinic - Someone To Stay,C:\Project UAS TERBARU\Lagu\Vancouver Sleep Clinic - Someone to Stay.mp3,C:\Project UAS TERBARU\Gambar Lagu\Vancouver Sleep Clinic - Someone To Stay.png,Indie
